newfilename,pathlength,oldfilepath
plan-for-applocker-policy-management.md,42,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Plan-for-AppLocker-Policy-Management.md
select-types-of-rules-to-create.md,37,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Select-Types-of-Rules-to-Create.md
understand-applocker-enforcement-settings.md,47,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Understand-AppLocker-Enforcement-Settings.md
understand-applocker-policy-design-decisions.md,50,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Understand-AppLocker-Policy-Design-Decisions.md
understand-applocker-rules-and-enforcement-setting-inheritance-in-group-policy.md,84,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\design\Understand-AppLocker-Rules-and-Enforcement-Setting-Inheritance-in-Group-Policy.md
dll-rules-in-applocker.md,28,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\DLL-Rules-in-AppLocker.md
executable-rules-in-applocker.md,35,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Executable-Rules-in-AppLocker.md
script-rules-in-applocker.md,31,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Script-Rules-in-AppLocker.md
understanding-applocker-allow-and-deny-actions-on-rules.md,61,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-AppLocker-Allow-and-Deny-Actions-on-Rules.md
understanding-applocker-default-rules.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-AppLocker-Default-Rules.md
understanding-applocker-rule-behavior.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-AppLocker-Rule-Behavior.md
understanding-applocker-rule-collections.md,46,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-AppLocker-Rule-Collections.md
understanding-applocker-rule-condition-types.md,50,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-AppLocker-Rule-Condition-Types.md
understanding-applocker-rule-exceptions.md,45,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-AppLocker-Rule-Exceptions.md
understanding-the-file-hash-rule-condition-in-applocker.md,61,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-the-File-Hash-Rule-Condition-in-AppLocker.md
understanding-the-path-rule-condition-in-applocker.md,56,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-the-Path-Rule-Condition-in-AppLocker.md
understanding-the-publisher-rule-condition-in-applocker.md,61,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Understanding-the-Publisher-Rule-Condition-in-AppLocker.md
using-event-viewer-with-applocker.md,39,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Using-Event-Viewer-with-AppLocker.md
windows-installer-rules-in-applocker.md,42,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\how-applocker-works\Windows-Installer-Rules-in-AppLocker.md
applocker-architecture-and-components.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker-Architecture-and-Components.md
applocker-functions.md,25,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker-Functions.md
applocker-policy-use-scenarios.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker-Policy-Use-Scenarios.md
applocker-processes-and-interactions.md,42,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker-Processes-and-Interactions.md
applocker-settings.md,24,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker-Settings.md
applocker-technical-reference.md,35,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker-Technical-Reference.md
applocker.md,15,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\AppLocker.md
get-started-with-applocker.md,32,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\get-started-with-applocker.md
how-applocker-works.md,25,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\How-AppLocker-Works.md
requirements-to-use-applocker.md,35,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\Requirements-to-Use-AppLocker.md
security-considerations-for-applocker.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\Security-Considerations-for-AppLocker.md
tools-to-use-with-applocker.md,33,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\Tools-to-Use-with-AppLocker.md
what-is-applocker.md,23,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\get-started\What-Is-AppLocker.md
add-rules-for-packaged-apps-to-existing-applocker-rule-set.md,64,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Add-Rules-for-Packaged-Apps-to-Existing-AppLocker-Rule-set.md
configure-an-applocker-policy-for-audit-only.md,50,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Configure-an-AppLocker-Policy-for-Audit-Only.md
configure-an-applocker-policy-for-enforce-rules.md,53,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Configure-an-AppLocker-Policy-for-Enforce-Rules.md
configure-the-application-identity-service.md,48,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Configure-the-Application-Identity-Service.md
display-a-custom-url-message-when-users-try-to-run-a-blocked-application.md,78,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Display-a-Custom-URL-Message-When-Users-Try-to-Run-a-Blocked-Application.md
export-an-applocker-policy-from-a-gpo.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Export-an-AppLocker-Policy-from-a-GPO.md
export-an-applocker-policy-to-an-xml-file.md,47,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Export-an-AppLocker-Policy-to-an-XML-File.md
import-an-applocker-policy-from-another-computer.md,54,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Import-an-AppLocker-Policy-from-Another-Computer.md
import-an-applocker-policy-into-a-gpo.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Import-an-AppLocker-Policy-into-a-GPO.md
merge-applocker-policies-by-using-set-applockerpolicy.md,59,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Merge-AppLocker-Policies-by-Using-Set-ApplockerPolicy.md
merge-applocker-policies-manually.md,39,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Merge-AppLocker-Policies-Manually.md
refresh-an-applocker-policy.md,33,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Refresh-an-AppLocker-Policy.md
test-an-applocker-policy-by-using-test-applockerpolicy.md,60,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Test-an-AppLocker-Policy-by-Using-Test-AppLockerPolicy.md
working-with-applocker-policies.md,37,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\policies\Working-with-AppLocker-Policies.md
configure-exceptions-for-an-applocker-rule.md,48,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Configure-Exceptions-for-an-AppLocker-Rule.md
create-a-rule-for-packaged-apps.md,37,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Create-a-Rule-for-Packaged-Apps.md
create-a-rule-that-uses-a-file-hash-condition.md,51,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Create-a-Rule-That-Uses-a-File-Hash-Condition.md
create-a-rule-that-uses-a-path-condition.md,46,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Create-a-Rule-That-Uses-a-Path-Condition.md
create-a-rule-that-uses-a-publisher-condition.md,51,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Create-a-Rule-That-Uses-a-Publisher-Condition.md
create-applocker-default-rules.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Create-AppLocker-Default-Rules.md
delete-an-applocker-rule.md,30,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Delete-an-AppLocker-Rule.md
edit-applocker-rules.md,26,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Edit-AppLocker-Rules.md
enable-the-dll-rule-collection.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Enable-the-DLL-Rule-Collection.md
enforce-applocker-rules.md,29,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Enforce-AppLocker-Rules.md
run-the-automatically-generate-rules-wizard.md,49,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Run-the-Automatically-Generate-Rules-Wizard.md
working-with-applocker-rules.md,34,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\rules\Working-with-AppLocker-Rules.md
administer-applocker.md,26,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Administer-AppLocker.md
deploy-applocker-policies-by-using-the-enforce-rules-setting.md,66,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Deploy-AppLocker-Policies-by-Using-the-Enforce-Rules-Setting.md
edit-an-applocker-policy.md,30,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Edit-an-AppLocker-Policy.md
maintain-applocker-policies.md,33,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Maintain-AppLocker-Policies.md
manage-packaged-apps-with-applocker.md,41,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Manage-Packaged-Apps-with-AppLocker.md
monitor-application-usage-with-applocker.md,46,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Monitor-Application-Usage-with-AppLocker.md
optimize-applocker-performance.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Optimize-AppLocker-Performance.md
test-and-update-an-applocker-policy.md,41,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Test-and-Update-an-AppLocker-Policy.md
use-applocker-and-software-restriction-policies-in-the-same-domain.md,72,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Use-AppLocker-and-Software-Restriction-Policies-in-the-Same-Domain.md
use-the-applocker-windows-powershell-cmdlets.md,50,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\applocker\manage\Use-the-AppLocker-Windows-PowerShell-Cmdlets.md
bitlocker--how-to-deploy-on-windows-server-2012.md,53,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker--How-to-deploy-on-Windows-Server-2012.md
bitlocker--use-bitlocker-drive-encryption-tools-to-manage-bitlocker.md,73,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker--Use-BitLocker-Drive-Encryption-Tools-to-manage-BitLocker.md
bitlocker--use-bitlocker-recovery-password-viewer.md,55,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker--Use-BitLocker-Recovery-Password-Viewer.md
bitlocker-basic-deployment.md,32,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Basic-Deployment.md
bitlocker-frequently-asked-questions--faq-.md,48,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Frequently-Asked-Questions--FAQ-.md
bitlocker-frequently-asked-questions-faq.md,46,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Frequently-Asked-Questions-FAQ.md
bitlocker-how-to-deploy-on-windows-server-2012.md,52,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-How-to-deploy-on-Windows-Server-2012.md
bitlocker-overview.md,24,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Overview.md
bitlocker-recovery-guide.md,30,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Recovery-Guide.md
bitlocker-use-bitlocker-drive-encryption-tools-to-manage-bitlocker.md,72,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Use-BitLocker-Drive-Encryption-Tools-to-manage-BitLocker.md
bitlocker-use-bitlocker-recovery-password-viewer.md,54,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\BitLocker-Use-BitLocker-Recovery-Password-Viewer.md
encrypted-hard-drive.md,26,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\Encrypted-Hard-Drive.md
protecting-cluster-shared-volumes-and-storage-area-networks-with-bitlocker.md,80,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\Protecting-cluster-shared-volumes-and-storage-area-networks-with-BitLocker.md
system-cryptography--use-fips-compliant-algorithms-for-encryption-hashing-and-signing.md,91,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\System-cryptography--Use-FIPS-compliant-algorithms-for-encryption-hashing-and-signing.md
system-cryptography-use-fips-compliant-algorithms-for-encryption-hashing-and-signing.md,90,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\bitlocker\System-cryptography-Use-FIPS-compliant-algorithms-for-encryption-hashing-and-signing.md
authentication-policies-and-authentication-policy-silos.md,61,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\credentials-protection-and-management\Authentication-Policies-and-Authentication-Policy-Silos.md
configuring-additional-lsa-protection.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\credentials-protection-and-management\Configuring-Additional-LSA-Protection.md
credentials-protection-and-management.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\credentials-protection-and-management\Credentials-Protection-and-Management.md
how-to-configure-protected-accounts.md,41,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\credentials-protection-and-management\How-to-Configure-Protected-Accounts.md
protected-users-security-group.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\credentials-protection-and-management\Protected-Users-Security-Group.md
account-lockout-duration.md,30,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\account-lockout-policy\Account-lockout-duration.md
account-lockout-policy.md,28,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\account-lockout-policy\Account-Lockout-Policy.md
account-lockout-threshold.md,31,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\account-lockout-policy\Account-lockout-threshold.md
reset-account-lockout-counter-after.md,41,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\account-lockout-policy\Reset-account-lockout-counter-after.md
enforce-user-logon-restrictions.md,37,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\kerberos-policy\Enforce-user-logon-restrictions.md
maximum-lifetime-for-service-ticket.md,41,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\kerberos-policy\Maximum-lifetime-for-service-ticket.md
maximum-lifetime-for-user-ticket-renewal.md,46,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\kerberos-policy\Maximum-lifetime-for-user-ticket-renewal.md
maximum-lifetime-for-user-ticket.md,38,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\kerberos-policy\Maximum-lifetime-for-user-ticket.md
maximum-tolerance-for-computer-clock-synchronization.md,58,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\kerberos-policy\Maximum-tolerance-for-computer-clock-synchronization.md
enforce-password-history.md,30,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Enforce-password-history.md
maximum-password-age.md,26,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Maximum-password-age.md
minimum-password-age.md,26,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Minimum-password-age.md
minimum-password-length.md,29,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Minimum-password-length.md
password-must-meet-complexity-requirements.md,48,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Password-must-meet-complexity-requirements.md
password-policy.md,21,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Password-Policy.md
store-passwords-using-reversible-encryption.md,49,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\password-policy\Store-passwords-using-reversible-encryption.md
accounts--administrator-account-status.md,44,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts--Administrator-account-status.md
accounts--block-microsoft-accounts.md,40,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts--Block-Microsoft-accounts.md
accounts--guest-account-status.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts--Guest-account-status.md
accounts--limit-local-account-use-of-blank-passwords-to-console-logon-only.md,80,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts--Limit-local-account-use-of-blank-passwords-to-console-logon-only.md
accounts--rename-administrator-account.md,44,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts--Rename-administrator-account.md
accounts--rename-guest-account.md,36,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts--Rename-guest-account.md
accounts-administrator-account-status.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts-Administrator-account-status.md
accounts-block-microsoft-accounts.md,39,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts-Block-Microsoft-accounts.md
accounts-guest-account-status.md,35,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts-Guest-account-status.md
accounts-limit-local-account-use-of-blank-passwords-to-console-logon-only.md,79,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts-Limit-local-account-use-of-blank-passwords-to-console-logon-only.md
accounts-rename-administrator-account.md,43,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts-Rename-administrator-account.md
accounts-rename-guest-account.md,35,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Accounts-Rename-guest-account.md
audit--audit-the-access-of-global-system-objects.md,54,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Audit--Audit-the-access-of-global-system-objects.md
audit--audit-the-use-of-backup-and-restore-privilege.md,58,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Audit--Audit-the-use-of-Backup-and-Restore-privilege.md
audit--shut-down-system-immediately-if-unable-to-log-security-audits.md,74,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Audit--Shut-down-system-immediately-if-unable-to-log-security-audits.md
audit-audit-the-access-of-global-system-objects.md,53,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Audit-Audit-the-access-of-global-system-objects.md
audit-audit-the-use-of-backup-and-restore-privilege.md,57,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Audit-Audit-the-use-of-Backup-and-Restore-privilege.md
audit-shut-down-system-immediately-if-unable-to-log-security-audits.md,73,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\Audit-Shut-down-system-immediately-if-unable-to-log-security-audits.md
dcom--machine-access-restrictions-in-security-descriptor-definition-language--sddl--syntax.md,96,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\DCOM--Machine-Access-Restrictions-in-Security-Descriptor-Definition-Language--SDDL--syntax.md
dcom--machine-launch-restrictions-in-security-descriptor-definition-language--sddl--syntax.md,96,C:\Users\coreyp\WindowsServerDocs-pr\WindowsServerDocs\security\group-managed-service-accounts\security-options\DCOM--Machine-Launch-Restrictions-in-Security-Descriptor-Definition-Language--SDDL--syntax.md
